Replicate,Phage,Host.Timepoint,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
2.7,1,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.7,2,t1,1,1,1,1,1,1,0,0,0,1,0,1
2.7,3,t1,1,1,0,1,1,1,1,1,1,1,1,1
2.7,4,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.7,5,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.7,6,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.7,7,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.7,8,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.7,9,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.7,10,t1,1,1,1,1,1,1,1,1,1,1,1,1
2.7,11,t1,1,0,0,1,0,0,0,0,0,0,1,0
2.7,12,t1,1,1,1,1,1,1,1,1,1,0,1,1
2.7,1,t4,0,0,0,0,0,0,0,0,0,0,0,0
2.7,2,t4,0,0,0,0,0,0,0,0,0,0,0,0
2.7,3,t4,0,0,0,0,0,0,0,0,0,0,0,0
2.7,4,t4,0,0,0,0,0,0,0,0,0,0,0,0
2.7,5,t4,0,0,0,0,0,0,0,0,0,0,0,0
2.7,6,t4,0,0,0,0,0,0,0,0,0,0,0,0
2.7,7,t4,0,0,0,0,0,0,0,0,0,0,0,0
2.7,8,t4,0,0,0,0,0,0,0,0,0,0,0,0
2.7,9,t4,0,0,0,0,0,0,0,0,0,0,0,0
2.7,10,t4,0,0,0,0,0,0,0,0,0,0,0,0
2.7,11,t4,0,0,0,0,0,0,0,0,0,0,0,0
2.7,12,t4,0,0,0,0,0,0,0,0,0,0,0,0
2.7,1,t9,0,0,0,0,0,0,0,0,0,0,0,0
2.7,2,t9,0,0,0,0,0,0,0,0,0,0,0,0
2.7,3,t9,0,0,0,0,0,0,0,0,0,0,0,0
2.7,4,t9,0,0,0,0,0,0,0,0,0,0,0,0
2.7,5,t9,0,0,0,0,0,0,0,0,0,0,0,0
2.7,6,t9,0,0,0,0,0,0,0,0,0,0,0,0
2.7,7,t9,0,0,0,0,0,0,0,0,0,0,0,0
2.7,8,t9,0,0,0,0,0,0,0,0,0,0,0,0
2.7,9,t9,0,0,0,0,0,0,0,0,0,0,0,0
2.7,10,t9,0,0,0,0,0,0,0,0,0,0,0,0
2.7,11,t9,0,0,0,0,0,0,0,0,0,0,0,0
2.7,12,t9,0,0,0,0,0,0,0,0,0,0,0,0
