replicate,timepoint,phage,host,infectivity,resistance
2.3,t1,1,1,0.444444444,0.472222222
2.3,t1,2,2,0.527777778,0.5
2.3,t1,3,3,0.583333333,0.25
2.3,t1,4,4,0.416666667,0.472222222
2.3,t1,5,5,0.638888889,0.611111111
2.3,t1,6,6,0.444444444,0.388888889
2.3,t1,7,7,0.722222222,0.5
2.3,t1,8,8,0.916666667,0.5
2.3,t1,9,9,0.388888889,0.388888889
2.3,t1,10,10,0.444444444,0.444444444
2.3,t1,11,11,0.583333333,0.527777778
2.3,t1,12,12,0.361111111,0.472222222
2.3,t4,1,1,0.361111111,0.694444444
2.3,t4,2,2,0.166666667,0.833333333
2.3,t4,3,3,0.138888889,0.805555556
2.3,t4,4,4,0.111111111,0.694444444
2.3,t4,5,5,0.111111111,0.805555556
2.3,t4,6,6,0.027777778,0.833333333
2.3,t4,7,7,0.305555556,0.833333333
2.3,t4,8,8,0.277777778,0.694444444
2.3,t4,9,9,0.305555556,0.777777778
2.3,t4,10,10,0.361111111,0.833333333
2.3,t4,11,11,0.222222222,0.75
2.3,t4,12,12,0.305555556,0.75
2.3,t9,1,1,0.25,0.888888889
2.3,t9,2,2,0.277777778,0.75
2.3,t9,3,3,0.277777778,0.75
2.3,t9,4,4,0.027777778,0.833333333
2.3,t9,5,5,0.25,1
2.3,t9,6,6,0.027777778,0.861111111
2.3,t9,7,7,0.194444444,0.805555556
2.3,t9,8,8,0.277777778,0.805555556
2.3,t9,9,9,0.055555556,0.944444444
2.3,t9,10,10,0.111111111,0.75
2.3,t9,11,11,0.222222222,0.777777778
2.3,t9,12,12,0.111111111,0.75
