replicate,timepoint,phage,host,infectivity,resistance
2.2,t1,1,1,0.5625,0.270833333
2.2,t1,2,2,0.75,0.354166667
2.2,t1,3,3,0.75,0.333333333
2.2,t1,4,4,0.5625,0.333333333
2.2,t1,5,5,0.625,0.354166667
2.2,t1,6,6,0.75,0.354166667
2.2,t1,7,7,0.625,0.270833333
2.2,t1,8,8,0.604166667,0.375
2.2,t1,9,9,0.729166667,0.354166667
2.2,t1,10,10,0.75,0.395833333
2.2,t1,11,11,0.604166667,0.3125
2.2,t1,12,12,0.604166667,0.375
2.2,t4,1,1,0.520833333,0.5625
2.2,t4,2,2,0.520833333,0.645833333
2.2,t4,3,3,0.520833333,0.645833333
2.2,t4,4,4,0.5,0.5625
2.2,t4,5,5,0.5,0.604166667
2.2,t4,6,6,0.5,0.5625
2.2,t4,7,7,0.5,0.645833333
2.2,t4,8,8,0.25,0.5625
2.2,t4,9,9,0.333333333,0.520833333
2.2,t4,10,10,0.270833333,0.5625
2.2,t4,11,11,0.270833333,0.645833333
2.2,t4,12,12,0.208333333,0.583333333
2.2,t9,1,1,0.229166667,0.916666667
2.2,t9,2,2,0.125,0.958333333
2.2,t9,3,3,0.020833333,0.958333333
2.2,t9,4,4,0.041666667,0.916666667
2.2,t9,5,5,0.0625,0.916666667
2.2,t9,6,6,2.77E-16,0.9375
2.2,t9,7,7,6.50E-16,0.9375
2.2,t9,8,8,-4.35E-16,0.9375
2.2,t9,9,9,0.1875,0.875
2.2,t9,10,10,-4.10E-16,0.958333333
2.2,t9,11,11,0.083333333,0.9375
2.2,t9,12,12,0.083333333,0.916666667
