"Replicate","Timepoint","Phage.Genotype","Host.Genotype","Infected","Resisted"
"2.5","t1","1","1",0.519,0.083
"2.5","t1","2","2",0.519,0
"2.5","t1","3","3",0.667,0.028
"2.5","t1","4","4",0.222,0.083
"2.5","t1","5","5",0.556,0
"2.5","t1","6","6",0.593,0.028
"2.5","t1","7","7",0.556,0.028
"2.5","t1","8","8",0.667,0.028
"2.5","t1","9","9",0.556,0
"2.5","t1","10","10",0.556,NA
"2.5","t1","11","11",0.444,NA
"2.5","t1","12","12",0.519,NA
"2.5","t4","1","1",0.667,0
"2.5","t4","2","2",0.667,0.278
"2.5","t4","3","3",0.667,0.083
"2.5","t4","4","4",0.667,0.278
"2.5","t4","5","5",0.667,0.028
"2.5","t4","6","6",0.667,0.25
"2.5","t4","7","7",0.667,0.028
"2.5","t4","8","8",0.667,0
"2.5","t4","9","9",0.667,0
"2.5","t4","10","10",0.667,NA
"2.5","t4","11","11",0.667,NA
"2.5","t4","12","12",0.667,NA
"2.5","t9","1","1",0.667,1
"2.5","t9","2","2",0.667,1
"2.5","t9","3","3",0.667,1
"2.5","t9","4","4",0.667,1
"2.5","t9","5","5",0.667,1
"2.5","t9","6","6",0.667,1
"2.5","t9","7","7",0.667,1
"2.5","t9","8","8",0.667,1
"2.5","t9","9","9",0.667,1
"2.5","t9","10","10",0.667,1
"2.5","t9","11","11",0.667,1
"2.5","t9","12","12",0.667,1
"2.6","t1","1","1",0.333,0.194
"2.6","t1","2","2",0.333,0.083
"2.6","t1","3","3",0.333,0.056
"2.6","t1","4","4",0.333,0.194
"2.6","t1","5","5",0.361,0.194
"2.6","t1","6","6",0.333,0.139
"2.6","t1","7","7",0.333,0.139
"2.6","t1","8","8",0.333,0.083
"2.6","t1","9","9",0.361,0.083
"2.6","t1","10","10",0.361,0.083
"2.6","t1","11","11",0.361,0.083
"2.6","t1","12","12",0.333,0.056
"2.6","t4","1","1",0.667,0.639
"2.6","t4","2","2",0.667,0.639
"2.6","t4","3","3",0.667,0.556
"2.6","t4","4","4",0.639,0.583
"2.6","t4","5","5",0.639,0.472
"2.6","t4","6","6",0.639,0.361
"2.6","t4","7","7",0.667,0.417
"2.6","t4","8","8",0.667,0.556
"2.6","t4","9","9",0.639,0.583
"2.6","t4","10","10",0.667,0.417
"2.6","t4","11","11",0.667,0.583
"2.6","t4","12","12",0.667,0.639
"2.6","t9","1","1",0.5,1
"2.6","t9","2","2",0.444,1
"2.6","t9","3","3",0.361,1
"2.6","t9","4","4",0.361,1
"2.6","t9","5","5",0.444,1
"2.6","t9","6","6",0.389,1
"2.6","t9","7","7",0.306,1
"2.6","t9","8","8",0,1
"2.6","t9","9","9",0.667,1
"2.6","t9","10","10",0.444,1
"2.6","t9","11","11",0.139,1
"2.6","t9","12","12",0.111,1
"2.7","t1","1","1",0.333,0
"2.7","t1","2","2",0.222,0.056
"2.7","t1","3","3",0.306,0.028
"2.7","t1","4","4",0.333,0.028
"2.7","t1","5","5",0.333,0.028
"2.7","t1","6","6",0.333,0.056
"2.7","t1","7","7",0.333,0
"2.7","t1","8","8",0.333,0.028
"2.7","t1","9","9",0.333,0.028
"2.7","t1","10","10",0.333,0.056
"2.7","t1","11","11",0.083,0.056
"2.7","t1","12","12",0.306,0.056
"2.7","t4","1","1",0.667,0.333
"2.7","t4","2","2",0.667,1
"2.7","t4","3","3",0.667,0.333
"2.7","t4","4","4",0.667,0.333
"2.7","t4","5","5",0.667,0.333
"2.7","t4","6","6",0.667,0.333
"2.7","t4","7","7",0.667,0.333
"2.7","t4","8","8",0.667,0.361
"2.7","t4","9","9",0.667,0.333
"2.7","t4","10","10",0.667,0.361
"2.7","t4","11","11",0.667,0.333
"2.7","t4","12","12",0.611,0.333
"2.7","t9","1","1",0.917,0.806
"2.7","t9","2","2",0.889,0.333
"2.7","t9","3","3",0.75,0.806
"2.7","t9","4","4",0.861,0.806
"2.7","t9","5","5",0.889,1
"2.7","t9","6","6",0.889,0.75
"2.7","t9","7","7",0.861,0.806
"2.7","t9","8","8",0.861,1
"2.7","t9","9","9",0.667,0.806
"2.7","t9","10","10",0.667,0.889
"2.7","t9","11","11",0.667,0.944
"2.7","t9","12","12",0.722,0.75
"2.11","t1","1","1",0.667,0
"2.11","t1","2","2",0.667,0
"2.11","t1","3","3",0.667,0
"2.11","t1","4","4",0.667,0
"2.11","t1","5","5",0.667,0
"2.11","t1","6","6",0.667,0
"2.11","t1","7","7",0.667,0
"2.11","t1","8","8",0.667,0
"2.11","t1","9","9",0.667,0
"2.11","t1","10","10",0.667,0
"2.11","t1","11","11",0.667,0
"2.11","t1","12","12",0.667,0
"2.11","t4","1","1",0.917,0
"2.11","t4","2","2",0.75,0
"2.11","t4","3","3",0.694,0
"2.11","t4","4","4",0.722,0
"2.11","t4","5","5",0.778,0
"2.11","t4","6","6",0.861,0
"2.11","t4","7","7",0.75,0
