Host,Phage,Mean.Infect,Infect.Lower,Infect.Upper,Mean.Resist,Resist.Lower,Resist.Upper
t1,Present,0.9357975,0.9198109,0.9496006,0.0642025,0.05039936,0.0801891
t1,Past,0.7576997,0.6559287,0.8399791,0.2423003,0.1600209,0.3440714
t4,Past,0.6023794,0.5275958,0.6730365,0.3976206,0.3269634,0.4724042
t4,Present,0.6185391,0.5863466,0.650126,0.3814609,0.349874,0.4136534
t4,Future,0.223571,0.1727073,0.2840964,0.776429,0.7159036,0.8272927
t9,Future,0.02575708,0.01577474,0.04084469,0.97424292,0.9591553,0.9842253
t9,Present,0.2898571,0.25017439,0.33142385,0.7101429,0.6685762,0.7498256
