Replicate,Timepoint,Phage.Genotype,Host.Genotype,Infected,Resisted
2.5,t1,2,2,1.000,0.000
2.5,t1,3,3,1.000,0.028
2.5,t1,4,4,0.778,0.083
2.5,t1,5,5,1.000,0.000
2.5,t1,6,6,1.000,0.028
2.5,t1,7,7,1.000,0.028
2.5,t1,8,8,1.000,0.028
2.5,t1,9,9,1.000,0.000
2.5,t1,10,10,1.000,NA
2.5,t1,11,11,0.926,NA
2.5,t1,12,12,0.963,NA
2.5,t4,1,1,0.889,0.000
2.5,t4,2,2,0.852,0.278
2.5,t4,3,3,1.000,0.083
2.5,t4,4,4,0.778,0.278
2.5,t4,5,5,0.889,0.028
2.5,t4,6,6,0.926,0.250
2.5,t4,7,7,0.889,0.028
2.5,t4,8,8,1.000,0.000
2.5,t4,9,9,0.889,0.000
2.5,t4,10,10,0.889,NA
2.5,t4,11,11,0.852,NA
2.5,t4,12,12,0.889,NA
2.5,t9,1,1,0.000,1.000
2.5,t9,2,2,0.000,1.000
2.5,t9,3,3,0.000,1.000
2.5,t9,4,4,0.000,1.000
2.5,t9,5,5,0.000,1.000
2.5,t9,6,6,0.000,1.000
2.5,t9,7,7,0.000,1.000
2.5,t9,8,8,0.000,1.000
2.5,t9,9,9,0.000,1.000
2.5,t9,10,10,0.000,1.000
2.5,t9,11,11,0.000,1.000
2.5,t9,12,12,0.000,1.000
2.6,t1,1,1,0.944,0.194
2.6,t1,2,2,0.944,0.083
2.6,t1,3,3,0.972,0.056
2.6,t1,4,4,0.944,0.194
2.6,t1,5,5,0.972,0.194
2.6,t1,6,6,0.889,0.139
2.6,t1,7,7,0.889,0.139
2.6,t1,8,8,0.667,0.083
2.6,t1,9,9,1.000,0.083
2.6,t1,10,10,0.917,0.083
2.6,t1,11,11,0.750,0.083
2.6,t1,12,12,0.722,0.056
2.6,t4,1,1,0.556,0.639
2.6,t4,2,2,0.500,0.639
2.6,t4,3,3,0.389,0.556
2.6,t4,4,4,0.389,0.583
2.6,t4,5,5,0.472,0.472
2.6,t4,6,6,0.472,0.361
2.6,t4,7,7,0.417,0.417
2.6,t4,8,8,0.333,0.556
2.6,t4,9,9,0.667,0.583
2.6,t4,10,10,0.556,0.417
2.6,t4,11,11,0.417,0.583
2.6,t4,12,12,0.389,0.639
2.6,t9,1,1,0.000,1.000
2.6,t9,2,2,0.000,1.000
2.6,t9,3,3,0.000,1.000
2.6,t9,4,4,0.000,1.000
2.6,t9,5,5,0.000,1.000
2.6,t9,6,6,0.000,1.000
2.6,t9,7,7,0.000,1.000
2.6,t9,8,8,0.000,1.000
2.6,t9,9,9,0.000,1.000
2.6,t9,10,10,0.000,1.000
2.6,t9,11,11,0.000,1.000
2.6,t9,12,12,0.000,1.000
2.7,t1,1,1,1.000,0.000
2.7,t1,2,2,0.889,0.056
2.7,t1,3,3,0.972,0.028
2.7,t1,4,4,1.000,0.028
2.7,t1,5,5,1.000,0.028
2.7,t1,6,6,1.000,0.056
2.7,t1,7,7,1.000,0.000
2.7,t1,8,8,1.000,0.028
2.7,t1,9,9,1.000,0.028
2.7,t1,10,10,1.000,0.056
2.7,t1,11,11,0.750,0.056
2.7,t1,12,12,0.972,0.056
2.7,t4,1,1,0.611,0.333
2.7,t4,2,2,0.611,1.000
2.7,t4,3,3,0.611,0.333
