Host,Phage,Mean.Infect,Infect.Lower,Infect.Upper,Mean.Resist,Resist.Lower,Resist.Upper
t1,Contemporary,0.9384922,0.922541535,0.952219033,0.06150794,0.04778104,0.07745836
t1,Past,0.7332745,0.6171146,0.8247292,0.2668651,0.2478607,0.2864609
t4,Past,0.5595,0.5287546,0.589991139,0.4404762,0.410009,0.4712452
t4,Contemporary,0.5774,0.546718569,0.607650893,0.422619,0.4532812,0.39234929
t4,Future,0.1746,0.152007601,0.198848887,0.8253968,0.8011513,0.8479923
t9,Future,0.0284399,0.01727959,0.04547057,0.9207553,0.89604161,0.94076973
t9,Contemporary,0.3234,0.295008605,0.352712339,0.6765873,0.64728785,0.70499122
