Replicate,Phage,Host.Timepoint,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
2.5,1,t1,1,NA,NA,1,1,NA,1,1,1,1,1,0
2.5,2,t1,1,NA,NA,1,1,NA,1,1,1,1,1,1
2.5,3,t1,1,NA,NA,1,1,NA,1,1,1,1,1,1
2.5,4,t1,0,NA,NA,1,0,NA,0,0,1,1,0,0
2.5,5,t1,1,NA,NA,1,1,NA,1,1,1,1,1,1
2.5,6,t1,1,NA,NA,1,1,NA,1,1,1,1,1,1
2.5,7,t1,1,NA,NA,1,1,NA,1,1,1,1,1,1
2.5,8,t1,1,NA,NA,1,1,NA,1,1,1,1,1,1
2.5,9,t1,1,NA,NA,1,1,NA,1,1,1,1,1,1
2.5,10,t1,1,NA,NA,1,1,NA,1,1,1,1,1,1
2.5,11,t1,0,NA,NA,1,1,NA,1,1,1,1,1,0
2.5,12,t1,0,NA,NA,1,1,NA,1,1,1,1,1,1
2.5,1,t4,NA,NA,0,NA,1,0,1,1,1,1,0,1
2.5,2,t4,NA,NA,0,NA,1,0,1,1,1,1,0,0
2.5,3,t4,NA,NA,1,NA,1,1,1,1,1,1,1,1
2.5,4,t4,NA,NA,0,NA,0,0,0,1,1,1,0,0
2.5,5,t4,NA,NA,0,NA,1,0,1,1,1,1,0,1
2.5,6,t4,NA,NA,0,NA,1,1,1,1,1,1,0,1
2.5,7,t4,NA,NA,0,NA,1,0,1,1,1,1,0,1
2.5,8,t4,NA,NA,1,NA,1,1,1,1,1,1,1,1
2.5,9,t4,NA,NA,0,NA,1,0,1,1,1,1,0,1
2.5,10,t4,NA,NA,0,NA,1,0,1,1,1,1,0,1
2.5,11,t4,NA,NA,0,NA,1,0,1,1,1,1,0,0
2.5,12,t4,NA,NA,0,NA,1,0,1,1,1,1,0,1
2.5,1,t9,0,0,0,0,0,NA,0,0,0,NA,0,NA
2.5,2,t9,0,0,0,0,0,NA,0,0,0,NA,0,NA
2.5,3,t9,0,0,0,0,0,NA,0,0,0,NA,0,NA
2.5,4,t9,0,0,0,0,0,NA,0,0,0,NA,0,NA
2.5,5,t9,0,0,0,0,0,NA,0,0,0,NA,0,NA
2.5,6,t9,0,0,0,0,0,NA,0,0,0,NA,0,NA
2.5,7,t9,0,0,0,0,0,NA,0,0,0,NA,0,NA
2.5,8,t9,0,0,0,0,0,NA,0,0,0,NA,0,NA
2.5,9,t9,0,0,0,0,0,NA,0,0,0,NA,0,NA
2.5,10,t9,0,0,0,0,0,NA,0,0,0,NA,0,NA
2.5,11,t9,0,0,0,0,0,NA,0,0,0,NA,0,NA
2.5,12,t9,0,0,0,0,0,NA,0,0,0,NA,0,NA
